Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1898,-.10,-.17,-.24,-.35,-.34,-.30,-.34,-.37,-.27,-.33,-.26,-.21,-.27,-.27,-.13,-.31,-.34,-.29
1899,-.21,-.14,-.14,-.18,-.23,-.28,-.16,-.11,-.06,-.13,-.10,-.07,-.15,-.16,-.19,-.18,-.18,-.09
1900,-.11,.02,-.05,-.09,-.14,-.10,-.14,-.09,-.08,-.03,.00,-.10,-.08,-.07,-.05,-.09,-.11,-.04
1901,-.11,-.13,-.16,-.16,-.20,-.26,-.30,-.25,-.18,-.27,-.13,-.15,-.19,-.19,-.12,-.17,-.27,-.20
1902,-.19,-.15,-.18,-.19,-.26,-.24,-.24,-.32,-.25,-.28,-.26,-.24,-.23,-.23,-.16,-.21,-.26,-.27
1903,-.25,-.23,-.31,-.36,-.38,-.40,-.29,-.36,-.51,-.49,-.44,-.47,-.38,-.36,-.24,-.35,-.35,-.48
1904,-.52,-.58,-.58,-.52,-.61,-.49,-.44,-.45,-.50,-.40,-.27,-.32,-.47,-.49,-.52,-.57,-.46,-.39
1905,-.29,-.37,-.22,-.22,-.30,-.28,-.31,-.17,-.19,-.23,-.22,-.09,-.24,-.26,-.33,-.25,-.25,-.21
1906,.00,-.05,-.18,-.16,-.29,-.29,-.21,-.24,-.34,-.25,-.36,-.35,-.23,-.20,-.04,-.21,-.25,-.31
1907,-.29,-.31,-.25,-.30,-.36,-.34,-.32,-.30,-.30,-.27,-.37,-.36,-.31,-.31,-.31,-.30,-.32,-.31
1908,-.35,-.39,-.41,-.42,-.47,-.47,-.36,-.36,-.43,-.45,-.42,-.44,-.41,-.41,-.37,-.43,-.40,-.43
1909,-.51,-.47,-.42,-.53,-.60,-.52,-.47,-.33,-.42,-.47,-.53,-.56,-.49,-.48,-.47,-.52,-.44,-.47
1910,-.49,-.45,-.53,-.45,-.39,-.32,-.32,-.34,-.36,-.52,-.53,-.54,-.44,-.44,-.50,-.46,-.33,-.47
1911,-.53,-.56,-.59,-.62,-.58,-.66,-.47,-.45,-.45,-.34,-.22,-.11,-.47,-.50,-.54,-.59,-.53,-.34
1912,-.15,-.12,-.15,-.19,-.30,-.33,-.33,-.31,-.35,-.31,-.26,-.30,-.26,-.24,-.13,-.21,-.32,-.31
1913,-.25,-.25,-.39,-.29,-.33,-.40,-.21,-.20,-.28,-.25,-.25,-.16,-.27,-.28,-.27,-.34,-.27,-.26
1914,-.09,-.10,-.14,-.20,-.24,-.29,-.15,-.06,-.05,-.07,-.08,-.03,-.13,-.14,-.12,-.19,-.16,-.07
1915,-.15,.01,.03,.04,-.12,-.31,-.15,-.28,-.21,-.22,-.24,-.19,-.15,-.14,-.06,-.02,-.25,-.22
1916,-.17,-.14,-.19,-.28,-.34,-.48,-.42,-.21,-.25,-.34,-.49,-.53,-.32,-.29,-.16,-.27,-.37,-.36
1917,-.63,-.60,-.54,-.48,-.39,-.40,-.21,-.08,-.18,-.28,-.37,-.30,-.37,-.39,-.59,-.47,-.23,-.28
1918,-.28,-.25,-.27,-.32,-.38,-.29,-.30,-.27,-.11,-.08,.01,-.02,-.21,-.24,-.28,-.32,-.29,-.06
1919,-.02,-.07,-.04,-.03,-.15,-.33,-.27,-.39,-.33,-.33,-.36,-.29,-.22,-.19,-.03,-.07,-.33,-.34
1920,-.35,-.25,-.26,-.29,-.34,-.46,-.36,-.22,-.10,-.15,-.10,-.22,-.26,-.26,-.30,-.30,-.34,-.11
1921,-.30,-.29,-.38,-.45,-.36,-.40,-.27,-.23,-.20,-.06,-.18,-.23,-.28,-.28,-.27,-.40,-.30,-.15
1922,-.28,-.27,-.20,-.30,-.48,-.46,-.29,-.30,-.30,-.34,-.18,-.24,-.30,-.30,-.26,-.32,-.35,-.27
1923,-.38,-.32,-.30,-.29,-.29,-.34,-.33,-.38,-.44,-.32,-.19,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.16,-.25,-.19,-.33,-.29,-.33,-.35,-.45,-.42,-.48,-.53,-.51,-.36,-.33,-.20,-.27,-.38,-.47
1925,-.50,-.43,-.33,-.35,-.36,-.39,-.27,-.21,-.34,-.25,-.11,-.08,-.30,-.34,-.48,-.35,-.29,-.23
1926,-.11,-.13,-.16,-.12,-.22,-.30,-.33,-.19,-.25,-.28,-.28,-.28,-.22,-.20,-.11,-.17,-.27,-.27
1927,-.25,-.28,-.30,-.35,-.38,-.41,-.30,-.31,-.28,-.25,-.19,-.27,-.30,-.30,-.27,-.35,-.34,-.24
1928,-.29,-.27,-.27,-.24,-.42,-.44,-.29,-.26,-.27,-.30,-.23,-.30,-.30,-.30,-.28,-.31,-.33,-.27
1929,-.34,-.37,-.47,-.48,-.49,-.48,-.39,-.44,-.31,-.28,-.19,-.42,-.39,-.38,-.34,-.48,-.44,-.26
1930,-.48,-.34,-.33,-.33,-.29,-.32,-.37,-.30,-.28,-.24,-.07,-.17,-.29,-.31,-.41,-.32,-.33,-.20
1931,-.18,-.15,-.13,-.23,-.22,-.29,-.14,-.16,-.29,-.25,-.35,-.20,-.22,-.21,-.17,-.19,-.20,-.30
1932,-.09,-.15,-.16,-.21,-.25,-.42,-.34,-.34,-.31,-.31,-.21,-.30,-.26,-.25,-.15,-.20,-.37,-.28
1933,-.27,-.28,-.27,-.31,-.32,-.37,-.30,-.33,-.32,-.33,-.38,-.36,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.33,-.33,-.28,-.28,-.18,-.15,-.17,-.26,-.20,-.23,-.26,-.27,-.35,-.31,-.20,-.21
1935,-.27,-.30,-.32,-.38,-.30,-.39,-.39,-.37,-.35,-.22,-.19,-.17,-.30,-.31,-.26,-.33,-.38,-.25
1936,-.26,-.25,-.30,-.34,-.32,-.47,-.29,-.28,-.25,-.13,-.12,-.18,-.27,-.26,-.22,-.32,-.35,-.17
1937,-.24,-.19,-.18,-.25,-.23,-.24,-.22,-.12,-.11,-.16,-.08,-.14,-.18,-.18,-.20,-.22,-.19,-.12
1938,-.19,-.22,-.16,-.20,-.23,-.29,-.19,-.21,-.17,-.05,-.18,-.14,-.19,-.19,-.18,-.20,-.23,-.13
1939,-.15,-.14,-.13,-.14,-.11,-.14,-.16,-.19,-.27,-.15,-.10,.09,-.13,-.15,-.14,-.12,-.16,-.17
1940,.12,.03,.16,.08,.06,.07,.09,.09,.07,-.04,.06,.29,.09,.07,.08,.10,.08,.03
1941,.20,.17,.10,.23,.13,.08,.21,.13,-.03,.22,.29,.26,.17,.17,.22,.15,.14,.16
1942,.19,.14,.11,.10,.06,.00,.00,.00,-.17,-.26,-.09,-.04,.00,.03,.19,.09,.00,-.17
1943,.07,-.05,-.08,-.11,-.11,-.04,.17,-.08,-.04,-.01,.03,.08,-.01,-.02,-.01,-.10,.02,.00
1944,.08,.04,.20,.21,.14,.16,.23,.22,.20,.08,.03,.09,.14,.14,.07,.18,.20,.10
1945,.10,.08,.03,.10,.04,-.05,.02,.25,.22,.13,.07,.08,.09,.09,.09,.05,.07,.14
1946,-.03,-.03,-.09,-.20,-.17,-.37,-.22,-.31,-.13,-.18,-.18,-.16,-.17,-.15,.01,-.16,-.30,-.16
1947,-.08,-.12,-.17,-.11,-.10,-.03,-.06,-.10,-.25,-.27,-.15,-.22,-.14,-.13,-.12,-.12,-.06,-.22
1948,-.18,-.15,-.22,-.20,-.18,-.15,-.24,-.26,-.27,-.19,-.29,-.09,-.20,-.21,-.18,-.20,-.22,-.25
1949,-.10,-.19,-.09,-.19,-.21,-.34,-.16,-.21,-.20,-.21,-.25,-.23,-.20,-.19,-.13,-.16,-.24,-.22
1950,-.24,-.27,-.22,-.20,-.19,-.06,-.01,-.13,-.16,-.36,-.35,-.32,-.21,-.20,-.24,-.21,-.06,-.29
1951,-.33,-.32,-.22,-.35,-.19,-.11,-.10,-.10,-.22,-.11,-.08,-.06,-.18,-.21,-.32,-.25,-.11,-.14
1952,.07,.06,.06,-.10,-.19,-.22,-.06,.02,-.01,.00,-.05,-.04,-.04,-.04,.02,-.08,-.08,-.02
1953,-.08,-.07,-.03,-.02,-.01,-.01,-.19,-.07,-.08,-.11,-.13,-.12,-.08,-.07,-.07,-.02,-.09,-.10
1954,-.23,-.19,-.13,-.27,-.33,-.34,-.29,-.34,-.29,-.19,-.20,-.27,-.25,-.24,-.18,-.24,-.32,-.23
1955,-.17,-.20,-.22,-.22,-.29,-.19,-.20,-.06,-.22,-.25,-.19,-.29,-.21,-.20,-.21,-.24,-.15,-.22
1956,-.22,-.17,-.20,-.29,-.29,-.13,.00,-.24,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.01,.02,.11,.25,.19,-.04,.11,.03,-.05,.03,.06,.05,.05,-.03,.13,.09,.00
1958,.09,.14,.02,.02,-.02,-.18,.09,-.19,-.10,.01,.02,-.14,-.02,.00,.10,.01,-.09,-.02
1959,-.07,-.03,.02,.07,.07,-.08,.02,-.09,-.25,-.07,-.17,-.10,-.06,-.06,-.08,.05,-.05,-.16
1960,-.15,-.13,-.27,-.16,-.18,-.27,-.16,-.05,.01,.05,-.12,-.01,-.12,-.13,-.13,-.20,-.16,-.02
1961,-.03,.08,-.02,.09,.19,.05,-.04,-.04,.18,.07,-.01,-.15,.03,.04,.01,.09,-.01,.08
1962,-.17,-.05,-.09,-.11,-.17,.22,-.06,-.07,.06,-.09,.00,-.15,-.06,-.06,-.12,-.12,.03,-.01
1963,-.14,-.13,-.14,-.19,-.06,.10,.04,.29,.23,-.13,-.13,-.07,-.03,-.03,-.14,-.13,.15,-.01
1964,-.12,-.17,-.11,-.33,-.40,.00,.02,-.19,-.31,-.31,-.22,-.33,-.21,-.18,-.12,-.28,-.06,-.28
1965,-.14,.02,-.16,-.13,-.08,.04,-.10,.10,-.08,-.09,-.16,-.07,-.07,-.09,-.15,-.12,.02,-.11
1966,-.12,-.13,.06,-.05,-.18,-.07,.06,-.29,-.13,-.22,-.04,-.02,-.09,-.10,-.11,-.06,-.10,-.13
1967,.02,-.05,-.14,-.13,.02,-.11,.00,-.08,-.08,-.10,-.12,-.13,-.08,-.07,-.02,-.09,-.06,-.10
1968,-.24,-.14,-.06,-.12,-.21,-.11,-.16,-.08,-.29,.18,.12,.05,-.09,-.10,-.17,-.13,-.12,.00
1969,.22,.13,.22,.32,.26,.14,-.13,.03,.13,.17,.11,.19,.15,.14,.13,.27,.01,.14
1970,.20,.17,.19,.13,-.07,-.06,.06,-.15,.26,.24,.02,.06,.09,.10,.18,.09,-.05,.17
1971,.08,-.11,-.08,.06,.01,-.20,-.03,.13,.01,.06,-.13,-.04,-.02,-.01,.01,.00,-.03,-.02
1972,.11,.17,.04,.12,.09,.19,.08,.40,.30,.20,.25,.39,.19,.16,.08,.08,.22,.25
1973,.42,.21,.26,.36,.36,.21,.21,.08,.26,.27,.18,-.09,.23,.27,.34,.33,.17,.23
1974,.04,-.19,-.14,-.13,.10,.08,.06,.31,.00,.11,.05,.10,.03,.02,-.08,-.06,.15,.05
1975,.04,.06,.14,.02,.32,.06,.04,-.20,.01,-.06,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.12,-.01,-.13,-.17,-.16,-.05,.06,-.03,-.01,.03,.21,.47,.01,-.04,-.09,-.15,-.01,.08
1977,.52,.34,.22,.28,.42,.31,.32,.33,-.08,.09,.06,.04,.24,.27,.44,.31,.32,.02
1978,-.03,.16,.16,.26,.24,.11,.16,-.11,.12,.06,.12,.14,.12,.11,.06,.22,.05,.10
1979,.22,.16,.20,.47,.06,.20,.03,.29,.30,.28,.33,.41,.25,.22,.17,.24,.17,.31
1980,.39,.38,.53,.46,.44,.22,.30,.27,.30,.15,.38,.34,.35,.35,.39,.47,.27,.28
1981,.25,.21,.28,.26,.31,.30,.53,.52,.16,.02,.12,.28,.27,.27,.27,.28,.45,.10
1982,.23,.14,.01,.13,.26,.11,.25,.15,.22,.27,.46,.47,.22,.21,.22,.13,.17,.32
1983,.50,.51,.40,.49,.62,.35,.16,.45,.48,.21,.12,.23,.38,.40,.49,.50,.32,.27
1984,.28,.26,.34,.19,.42,-.04,.29,.32,.45,.19,.24,.33,.27,.26,.26,.32,.19,.29
1985,.36,.22,.34,.28,.20,.29,.15,.34,.22,.20,.08,.10,.23,.25,.31,.27,.26,.17
1986,.18,.42,.34,.30,.23,.11,.24,.27,.09,.22,.19,.22,.23,.22,.23,.29,.21,.16
1987,.40,.36,.37,.42,.28,.53,.56,.24,.32,.44,.49,.43,.40,.39,.33,.36,.44,.42
1988,.55,.43,.55,.41,.44,.39,.23,.51,.46,.51,.18,.13,.40,.42,.47,.47,.38,.38
1989,.15,.20,.25,.25,.12,.09,.35,.41,.45,.32,.27,.40,.27,.25,.16,.21,.28,.35
1990,.35,.32,.42,.42,.41,.31,.59,.28,.06,.41,.47,.43,.37,.37,.36,.41,.39,.31
1991,.25,.42,.25,.46,.36,.58,.51,.45,.52,.27,.27,.42,.40,.40,.37,.35,.52,.35
1992,.33,.32,.40,.39,.41,.47,.27,.24,.17,.29,.14,.21,.30,.32,.36,.40,.33,.20
1993,.29,.21,.33,.32,.25,.25,.38,.20,.30,.34,.29,.15,.28,.28,.24,.30,.28,.31
1994,.19,.10,.10,.33,.17,.45,.26,.10,.26,.29,.39,.40,.25,.23,.14,.20,.27,.32
1995,.28,.37,.35,.21,.16,.34,.56,.38,.25,.35,.32,.24,.32,.33,.35,.24,.43,.31
1996,.20,.38,.34,.46,.21,.26,.45,.75,.47,.35,.42,.39,.39,.38,.27,.34,.49,.41
1997,.25,.22,.29,.20,.29,.59,.28,.38,.55,.57,.70,.67,.42,.39,.29,.26,.41,.60
1998,.56,.72,.56,.42,.68,.79,.62,.60,.24,.32,.39,.37,.52,.55,.65,.55,.67,.32
1999,.37,.29,.36,.12,.19,.37,.39,.33,.37,.28,.21,.15,.29,.30,.35,.22,.36,.29
2000,.13,.23,.25,.25,.16,.34,.33,.38,.43,.26,.41,.29,.29,.28,.17,.22,.35,.37
2001,.35,.43,.35,.42,.47,.52,.55,.32,.48,.41,.47,.47,.44,.42,.36,.41,.46,.45
2002,.52,.43,.64,.66,.74,.38,.55,.49,.60,.56,.41,.45,.54,.54,.47,.68,.48,.52
2003,.57,.61,.52,.50,.51,.42,.48,.45,.48,.49,.42,.51,.50,.49,.55,.51,.45,.46
2004,.50,.53,.40,.53,.26,.42,.05,.40,.44,.53,.48,.57,.43,.42,.52,.39,.29,.48
2005,.54,.49,.54,.44,.49,.51,.48,.55,.52,.55,.42,.52,.50,.51,.53,.49,.51,.50
2006,.47,.50,.48,.37,.24,.50,.40,.74,.50,.43,.51,.42,.46,.47,.50,.36,.55,.48
2007,.56,.50,.48,.43,.64,.56,.54,.47,.52,.35,.34,.22,.47,.49,.50,.52,.52,.41
2008,.26,.17,.33,.41,.38,.37,.61,.37,.64,.46,.42,.43,.40,.39,.21,.37,.45,.51
2009,.47,.37,.48,.50,.65,.63,.74,.65,.60,.53,.76,.68,.59,.57,.42,.55,.67,.63
2010,.70,.74,.73,.56,.58,.52,.40,.46,.55,.52,.43,.39,.55,.57,.71,.62,.46,.50
2011,.42,.39,.40,.44,.38,.46,.65,.75,.43,.40,.50,.32,.46,.47,.40,.41,.62,.45
2012,.30,.39,.42,.35,.57,.37,.32,.53,.58,.66,.60,.60,.47,.45,.34,.45,.41,.61
2013,.56,.47,.53,.44,.46,.64,.54,.66,.84,.56,.56,.56,.57,.57,.54,.47,.61,.65
2014,.54,.39,.38,.53,.80,.54,.42,.73,.87,.67,.55,.50,.58,.58,.49,.57,.56,.70
2015,.52,.61,.59,.51,.54,.59,.59,.64,.53,.88,.76,.79,.63,.60,.54,.55,.61,.72
2016,.78,.79,.80,.75,.79,.52,.66,.91,.62,.72,.71,.68,.73,.74,.79,.78,.70,.68
2017,.67,.76,.79,.66,.87,.53,.69,.73,.59,.74,.54,.48,.67,.69,.70,.78,.65,.62
2018,.50,.45,.61,.81,.64,.69,.75,.67,.65,.77,.67,.74,.66,.64,.48,.68,.70,.70
2019,.67,.76,.80,.78,.74,.65,***,***,***,***,***,***,***,***,.72,.77,***,***
